                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3217,                   1.63,                  1.033,                0.74151,                0.61339,                 0.6819,                0.41337,                 1.2694,                 1.0112,                  1.071,             0.00066395,             0.00066395,             0.00066395
                      2,                  1.268,                0.92524,                 1.0244,                0.84997,                0.65897,                0.76239,                 0.4793,                 1.2167,                 0.8596,                 1.0434,              0.0013043,              0.0013043,              0.0013043
                      3,                 1.2532,                0.90551,                 1.0348,                0.86372,                0.67292,                0.78525,                0.52312,                 1.0976,                0.82697,                 1.0259,              0.0019182,              0.0019182,              0.0019182
                      4,                 1.2154,                 0.8567,                 1.0116,                0.87437,                0.68677,                0.80062,                0.51335,                 1.1284,                0.76812,                  1.028,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.2078,                0.84055,                  1.019,                0.84158,                0.68696,                0.79343,                 0.5289,                 1.0859,                0.74896,                 1.0211,              0.0018812,              0.0018812,              0.0018812
                      6,                 1.1617,                0.78007,                  1.003,                0.88351,                0.70167,                 0.8164,                 0.5459,                 1.0454,                0.70393,                 1.0008,              0.0018416,              0.0018416,              0.0018416
                      7,                 1.1368,                0.76576,                0.99392,                0.85948,                0.73976,                0.83614,                0.56681,                 1.0242,                0.68013,                0.99846,               0.001802,               0.001802,               0.001802
                      8,                 1.1136,                0.75043,                0.98454,                0.88673,                0.74784,                  0.854,                0.57706,                 1.0184,                0.65315,                0.98523,              0.0017624,              0.0017624,              0.0017624
                      9,                 1.1183,                0.75252,                0.98995,                0.89725,                 0.7438,                0.85447,                0.58826,                0.97029,                0.62724,                 0.9848,              0.0017228,              0.0017228,              0.0017228
                     10,                  1.063,                0.69891,                0.96545,                0.88533,                0.74178,                0.85038,                0.58073,                0.99818,                0.64405,                0.96963,              0.0016832,              0.0016832,              0.0016832
                     11,                 1.0681,                 0.6989,                0.96611,                0.88519,                 0.7637,                0.86091,                0.58826,                0.98891,                0.62764,                0.97144,              0.0016436,              0.0016436,              0.0016436
                     12,                 1.0536,                0.68514,                0.96016,                0.84882,                0.76746,                0.85041,                  0.593,                0.95798,                0.61847,                0.97822,               0.001604,               0.001604,               0.001604
                     13,                 1.0344,                0.66603,                0.96076,                0.91417,                0.75899,                0.86834,                0.59142,                0.99607,                0.61071,                0.97536,              0.0015644,              0.0015644,              0.0015644
                     14,                 1.0289,                0.66963,                0.95682,                0.88157,                0.76774,                0.86872,                0.61233,                0.95266,                0.59219,                0.96195,              0.0015248,              0.0015248,              0.0015248
                     15,                 1.0331,                0.65583,                0.95531,                0.88927,                 0.7865,                0.88121,                0.61105,                0.94677,                0.58466,                0.97013,              0.0014852,              0.0014852,              0.0014852
                     16,                 1.0156,                0.63857,                0.95642,                 0.8982,                  0.794,                 0.8827,                0.60838,                0.94586,                0.57978,                 0.9596,              0.0014456,              0.0014456,              0.0014456
                     17,                 1.0156,                0.64741,                0.94766,                0.89475,                0.78978,                 0.8812,                0.61426,                0.94702,                0.57471,                 0.9571,               0.001406,               0.001406,               0.001406
                     18,                 1.0157,                0.63815,                0.94925,                0.90601,                0.78146,                 0.8851,                0.62321,                0.93453,                0.56391,                 0.9607,              0.0013664,              0.0013664,              0.0013664
                     19,                 1.0084,                0.61884,                0.94254,                0.90779,                0.78765,                0.88981,                0.62791,                0.91683,                0.55556,                 0.9586,              0.0013268,              0.0013268,              0.0013268
                     20,                0.98739,                0.60217,                0.94066,                0.89819,                0.78651,                  0.884,                0.61783,                0.93763,                0.56043,                0.95699,              0.0012872,              0.0012872,              0.0012872
                     21,                0.99673,                0.62339,                0.94713,                0.91344,                0.78938,                0.89713,                0.63833,                0.90682,                0.53918,                0.95063,              0.0012476,              0.0012476,              0.0012476
                     22,                0.97626,                 0.5926,                0.93637,                0.90879,                 0.7905,                0.89769,                0.62945,                0.90622,                0.53687,                0.94469,               0.001208,               0.001208,               0.001208
                     23,                0.97039,                0.59788,                0.93648,                0.88643,                0.80006,                0.89368,                0.62606,                0.92959,                0.54426,                0.95176,              0.0011684,              0.0011684,              0.0011684
                     24,                 0.9703,                0.59259,                0.93306,                0.91018,                 0.7989,                0.89664,                0.62566,                 0.9296,                0.54639,                0.95037,              0.0011288,              0.0011288,              0.0011288
                     25,                0.95932,                0.58367,                 0.9268,                0.91167,                0.79862,                0.89638,                0.64305,                0.88077,                0.53676,                0.94404,              0.0010892,              0.0010892,              0.0010892
                     26,                0.96623,                0.57885,                0.92967,                0.90188,                0.80883,                0.89767,                0.64523,                0.87819,                0.51495,                0.94262,              0.0010496,              0.0010496,              0.0010496
                     27,                0.96463,                 0.5843,                0.92899,                0.90508,                 0.8116,                0.90313,                0.65058,                0.87743,                0.51963,                0.93447,                0.00101,                0.00101,                0.00101
                     28,                0.95468,                0.57321,                0.92253,                0.90884,                0.81506,                0.90566,                0.65094,                0.87868,                0.51914,                0.94259,              0.0009704,              0.0009704,              0.0009704
                     29,                0.94164,                0.56104,                 0.9241,                0.92753,                0.80505,                0.90918,                0.65431,                0.87886,                 0.5012,                0.93545,              0.0009308,              0.0009308,              0.0009308
                     30,                0.94271,                0.56414,                0.92128,                0.91119,                0.81997,                0.90927,                0.65787,                0.86531,                0.50586,                0.92787,              0.0008912,              0.0008912,              0.0008912
                     31,                0.93258,                0.55316,                0.91551,                0.90866,                0.80698,                0.89896,                0.64915,                0.86624,                0.51931,                0.93298,              0.0008516,              0.0008516,              0.0008516
                     32,                0.93271,                0.54582,                0.92039,                0.91406,                0.82545,                0.90961,                0.65805,                0.86902,                0.49943,                0.93427,               0.000812,               0.000812,               0.000812
                     33,                0.91894,                 0.5488,                0.92111,                0.91442,                0.82314,                0.90658,                0.65766,                0.86008,                0.49333,                0.93504,              0.0007724,              0.0007724,              0.0007724
                     34,                0.90207,                0.52788,                0.90963,                0.89641,                0.82862,                0.90925,                0.65787,                0.85923,                  0.489,                0.92633,              0.0007328,              0.0007328,              0.0007328
                     35,                0.90776,                0.52569,                0.90976,                0.91223,                0.82468,                0.90932,                0.64947,                0.88404,                0.49468,                0.93425,              0.0006932,              0.0006932,              0.0006932
                     36,                 0.8978,                0.51063,                 0.9106,                0.90998,                0.83699,                0.91722,                0.66631,                0.84985,                0.47912,                0.92337,              0.0006536,              0.0006536,              0.0006536
                     37,                0.91589,                0.52478,                 0.9137,                0.91879,                0.82833,                 0.9181,                0.66762,                0.85037,                0.47341,                0.92478,               0.000614,               0.000614,               0.000614
                     38,                0.89377,                0.51433,                0.90681,                0.92753,                0.82227,                0.91978,                0.66892,                0.84722,                0.47135,                0.92788,              0.0005744,              0.0005744,              0.0005744
                     39,                0.89457,                 0.5109,                0.90321,                0.92652,                0.82582,                0.91671,                0.66642,                0.85053,                0.46732,                0.92427,              0.0005348,              0.0005348,              0.0005348
                     40,                0.89408,                0.51004,                0.90515,                0.91863,                0.83383,                0.92002,                0.67124,                 0.8422,                0.46441,                0.92407,              0.0004952,              0.0004952,              0.0004952
                     41,                 0.8796,                0.50276,                0.91405,                0.91357,                0.83756,                0.91969,                0.66866,                0.85791,                0.47157,                0.92138,              0.0004556,              0.0004556,              0.0004556
                     42,                0.85826,                0.49689,                   0.91,                0.92425,                0.83427,                0.92303,                0.66679,                0.84573,                0.46481,                0.92707,               0.000416,               0.000416,               0.000416
                     43,                0.86231,                0.49096,                0.91242,                 0.9363,                0.82977,                0.92226,                0.67528,                  0.837,                 0.4512,                0.91633,              0.0003764,              0.0003764,              0.0003764
                     44,                0.85228,                0.48469,                0.91133,                0.93097,                0.83497,                0.92501,                0.68261,                0.82239,                 0.4477,                0.91618,              0.0003368,              0.0003368,              0.0003368
                     45,                 0.8517,                0.47456,                 0.9058,                0.93241,                0.83728,                0.92783,                  0.685,                0.82404,                0.44483,                0.91644,              0.0002972,              0.0002972,              0.0002972
                     46,                0.84554,                0.47259,                0.90671,                 0.9177,                0.84911,                0.92852,                0.68517,                0.82361,                0.44356,                0.91525,              0.0002576,              0.0002576,              0.0002576
                     47,                0.83994,                0.46526,                0.90277,                0.92061,                0.84651,                0.92745,                0.68756,                0.81443,                 0.4361,                 0.9149,               0.000218,               0.000218,               0.000218
                     48,                0.82917,                0.46077,                0.90272,                0.91843,                0.84478,                0.92534,                0.67927,                0.83695,                0.44094,                0.92172,              0.0001784,              0.0001784,              0.0001784
                     49,                0.82351,                0.45766,                0.89547,                0.92805,                0.84105,                0.92774,                0.69075,                0.80929,                0.43327,                0.91589,              0.0001388,              0.0001388,              0.0001388
                     50,                0.82521,                0.44829,                0.89914,                0.93289,                0.83821,                0.92824,                0.68888,                0.81834,                0.43022,                0.91501,               9.92e-05,               9.92e-05,               9.92e-05
